Ball Number,Score,Comment
6.1,1,"Nazmul Islam to Yasir Ali Chowdhury, 1 run, An accurately pitched off break ball on the off stump, Yasir Ali Chowdhury goes back to make a confident push, sending the ball towards deep cover for 1 run."
5.6,0,"Shubham Ranjane to Anamul Haque Bijoy, no run, Dot ball !! fast ball, yorker, on the off stump, goes forward, plays defensive shot to the short mid wicket."
5.6,1nb,"Shubham Ranjane to Anamul Haque Bijoy, 1 no ball, No ball !! bouncer, back of length, on the off stump, Anamul Haque Bijoy goes back, strikes a clever pull. Umpire calls it a no ball as it went above the waist height."
5.6,1wd,"Shubham Ranjane to Anamul Haque Bijoy, 1 wide, Wide Ball !! outswinger good length, on the off stump, Shubham Ranjane strays from his line, sending it too far outside the off-stump. The Umpire calls it a wide."
5.5,4,"Shubham Ranjane to Anamul Haque Bijoy, Four, Four !! outswinger, back of length, on the off stump. Anamul Haque Bijoy goes back, hits cut in the gap towards deep point, and ball finds the ropes in a flash for four."
5.5,1wd,"Shubham Ranjane to Anamul Haque Bijoy, 1 wide, Wide Ball !! fast ball full length on the leg stump, That sails wide of the leg-stump, leaving Anamul Haque Bijoy with no chance to make contact. The umpire calls it a wide."
5.5,1wd,"Shubham Ranjane to Anamul Haque Bijoy, 1 wide, bouncer, short length, on the stumps, An attempted bouncer misses the mark and sails high over Anamul Haque Bijoy's head, Umpire Calls it a wide."
5.4,1,"Shubham Ranjane to Yasir Ali Chowdhury, 1 run, fast ball, back of length, on the off stump, goes back, plays pull, towards the deep square leg for 1 run."
5.3,1,"Shubham Ranjane to Anamul Haque Bijoy, 1 run, An accurately pitched fast ball on the stumps, Anamul Haque Bijoy goes forward to make a confident defensive shot, sending the ball towards short mid wicket for 1 run."
5.2,0,"Shubham Ranjane to Anamul Haque Bijoy, no run, Dot ball !! inswinger, back of length, on the stumps, Anamul Haque Bijoy goes back and strives to hit pull, aiming to fend it off, but ball is too tricky to hit."
5.1,0,"Shubham Ranjane to Anamul Haque Bijoy, no run, Dot ball !! outswinger, good length, on the off stump, Anamul Haque Bijoy goes forward to the delivery, letting it go to the keeper without offering a shot."
4.6,0,"Alauddin Babu to Yasir Ali Chowdhury, no run, Dot ball !! outswinger, good length, on the off stump, Yasir Ali Chowdhury goes forward, tucks defensive shot toward the fielder at point, who halts the ball."
4.5,6,"Alauddin Babu to Yasir Ali Chowdhury, Six, Six !! fast ball is delivered on the off stump, back of length, Yasir Ali Chowdhury goes back, displays great skill by powering pull to deep mid wicket for a magnificent Maximum!"
4.4,4,"Alauddin Babu to Yasir Ali Chowdhury, Four, Four !! bouncer, back of length, on the stumps. Yasir Ali Chowdhury goes back, hits pull in the gap towards deep fine leg, and ball finds the ropes in a flash for four."
